Time,Step,Train loss,Validation loss,Validation dice,Learning Rate
2024-07-27 04:24:23.746018,Step[1],0.963828,0.950939,0.049061,5.23e-05
2024-07-27 04:25:12.587309,Step[2],0.920957,0.888894,0.111106,5.23e-05
2024-07-27 04:26:01.385029,Step[3],0.852173,0.826382,0.173618,5.23e-05
2024-07-27 04:26:50.291162,Step[4],0.815625,0.815214,0.184786,5.23e-05
2024-07-27 04:27:39.103802,Step[5],0.795010,0.808998,0.191002,5.23e-05
2024-07-27 04:28:27.979138,Step[6],0.785596,0.802843,0.197157,5.23e-05
2024-07-27 04:29:16.775807,Step[7],0.777485,0.797189,0.202811,5.23e-05
2024-07-27 04:30:05.649847,Step[8],0.771856,0.785139,0.214861,5.23e-05
2024-07-27 04:30:54.510282,Step[9],0.772555,0.802989,0.197011,5.23e-05
2024-07-27 04:31:43.138708,Step[10],0.756255,0.780593,0.219407,5.23e-05
2024-07-27 04:32:32.072373,Step[11],0.746451,0.774051,0.225949,5.23e-05
2024-07-27 04:33:20.885569,Step[12],0.739534,0.777890,0.222110,5.23e-05
2024-07-27 04:34:09.567369,Step[13],0.735295,0.764236,0.235764,5.23e-05
2024-07-27 04:34:59.525432,Step[14],0.730769,0.763301,0.236699,5.23e-05
2024-07-27 04:35:48.355761,Step[15],0.730828,0.761811,0.238189,5.23e-05
2024-07-27 04:36:37.274494,Step[16],0.719868,0.752157,0.247843,5.23e-05
2024-07-27 04:37:26.089286,Step[17],0.711451,0.759320,0.240680,5.23e-05
2024-07-27 04:38:14.722757,Step[18],0.707244,0.747607,0.252393,5.23e-05
2024-07-27 04:39:03.559113,Step[19],0.710945,0.747479,0.252521,5.23e-05
2024-07-27 04:39:52.401492,Step[20],0.699422,0.744956,0.255044,5.23e-05
2024-07-27 04:40:41.323247,Step[21],0.694972,0.738934,0.261066,5.23e-05
2024-07-27 04:41:30.072707,Step[22],0.705249,0.741433,0.258567,5.23e-05
2024-07-27 04:42:18.765283,Step[23],0.691711,0.737517,0.262483,5.23e-05
2024-07-27 04:43:07.665401,Step[24],0.687346,0.734178,0.265822,5.23e-05
2024-07-27 04:43:56.542058,Step[25],0.683389,0.729248,0.270752,5.23e-05
2024-07-27 04:44:45.399681,Step[26],0.677906,0.731535,0.268465,5.23e-05
2024-07-27 04:45:34.024055,Step[27],0.680003,0.730284,0.269716,5.23e-05
2024-07-27 04:46:22.682288,Step[28],0.677886,0.734299,0.265701,5.23e-05
2024-07-27 04:47:11.261593,Step[29],0.673556,0.726854,0.273146,5.23e-05
2024-07-27 04:48:00.133951,Step[30],0.667133,0.728376,0.271624,5.23e-05
2024-07-27 04:48:48.795993,Step[31],0.664693,0.719106,0.280894,5.23e-05
2024-07-27 04:49:37.619763,Step[32],0.660968,0.715288,0.284712,5.23e-05
2024-07-27 04:50:26.510353,Step[33],0.659875,0.720295,0.279705,5.23e-05
2024-07-27 04:51:15.114171,Step[34],0.657861,0.714718,0.285282,5.23e-05
2024-07-27 04:52:03.948299,Step[35],0.649243,0.715027,0.284973,5.23e-05
2024-07-27 04:52:52.618008,Step[36],0.659920,0.710317,0.289683,5.23e-05
2024-07-27 04:53:41.338865,Step[37],0.653932,0.715305,0.284695,5.23e-05
2024-07-27 04:54:30.011996,Step[38],0.655672,0.717124,0.282876,5.23e-05
2024-07-27 04:55:18.601004,Step[39],0.653267,0.712811,0.287189,5.23e-05
2024-07-27 04:56:07.232833,Step[40],0.640693,0.708240,0.291760,5.23e-05
2024-07-27 04:56:56.149909,Step[41],0.654624,0.712893,0.287107,5.23e-05
2024-07-27 04:57:44.744457,Step[42],0.644984,0.721703,0.278297,5.23e-05
2024-07-27 04:58:33.449838,Step[43],0.641629,0.706234,0.293766,5.23e-05
2024-07-27 04:59:22.276518,Step[44],0.634481,0.706516,0.293484,5.23e-05
2024-07-27 05:00:10.937557,Step[45],0.633900,0.704278,0.295722,5.23e-05
2024-07-27 05:00:59.682639,Step[46],0.639538,0.706254,0.293746,5.23e-05
2024-07-27 05:01:48.337486,Step[47],0.627124,0.707281,0.292719,5.23e-05
2024-07-27 05:02:37.027747,Step[48],0.638212,0.707550,0.292450,5.23e-05
2024-07-27 05:03:25.643991,Step[49],0.632986,0.704425,0.295575,5.23e-05
2024-07-27 05:04:14.272816,Step[50],0.639148,0.700996,0.299004,4.707e-05
2024-07-27 05:05:03.041944,Step[51],0.626929,0.700391,0.299609,4.707e-05
2024-07-27 05:05:51.774948,Step[52],0.629003,0.701323,0.298677,4.707e-05
2024-07-27 05:06:40.449739,Step[53],0.623134,0.703513,0.296487,4.707e-05
2024-07-27 05:07:29.056599,Step[54],0.627743,0.700220,0.299780,4.707e-05
2024-07-27 05:08:17.869676,Step[55],0.621912,0.698381,0.301619,4.707e-05
2024-07-27 05:09:06.665288,Step[56],0.619231,0.691842,0.308158,4.707e-05
2024-07-27 05:09:58.153692,Step[57],0.610112,0.696816,0.303184,4.707e-05
2024-07-27 05:10:46.855134,Step[58],0.612851,0.699459,0.300541,4.707e-05
