Time,Step,Train loss,Validation loss,Validation dice
2024-06-10 15:00:26.329404,Step[1],0.957995,0.916578,0.083422
2024-06-10 15:01:07.013675,Step[2],0.909309,0.856896,0.143104
2024-06-10 15:01:43.565893,Step[3],0.869998,0.826630,0.173370
2024-06-10 15:02:20.334730,Step[4],0.838261,0.806165,0.193835
2024-06-10 15:02:57.286836,Step[5],0.827150,0.800152,0.199848
2024-06-10 15:03:34.285057,Step[6],0.810240,0.790255,0.209745
2024-06-10 15:04:11.364370,Step[7],0.789195,0.776313,0.223687
2024-06-10 15:04:48.545041,Step[8],0.776697,0.763076,0.236924
2024-06-10 15:05:25.669597,Step[9],0.770594,0.754178,0.245822
2024-06-10 15:06:02.787042,Step[10],0.761881,0.750985,0.249015
2024-06-10 15:06:39.943786,Step[11],0.755748,0.754059,0.245941
2024-06-10 15:07:17.005244,Step[12],0.749458,0.746362,0.253638
2024-06-10 15:07:54.121636,Step[13],0.744355,0.745204,0.254796
2024-06-10 15:08:31.267410,Step[14],0.745837,0.734379,0.265621
2024-06-10 15:09:08.363010,Step[15],0.736774,0.736573,0.263427
2024-06-10 15:09:45.342713,Step[16],0.728859,0.730466,0.269534
2024-06-10 15:10:22.412996,Step[17],0.726924,0.730678,0.269322
2024-06-10 15:10:59.405100,Step[18],0.724300,0.724994,0.275006
2024-06-10 15:11:36.492030,Step[19],0.723640,0.729957,0.270043
2024-06-10 15:12:13.494481,Step[20],0.720434,0.728754,0.271246
2024-06-10 15:12:50.394228,Step[21],0.718380,0.729146,0.270854
2024-06-10 15:13:27.211364,Step[22],0.714579,0.719970,0.280030
2024-06-10 15:14:04.111981,Step[23],0.713932,0.725337,0.274663
2024-06-10 15:14:40.937716,Step[24],0.715899,0.720361,0.279639
2024-06-10 15:15:17.752295,Step[25],0.708467,0.714725,0.285275
2024-06-10 15:15:54.649728,Step[26],0.708056,0.714970,0.285030
2024-06-10 15:16:31.497988,Step[27],0.707774,0.713482,0.286518
2024-06-10 15:17:08.415612,Step[28],0.706112,0.711574,0.288426
2024-06-10 15:17:45.316484,Step[29],0.706704,0.710286,0.289714
2024-06-10 15:18:22.218553,Step[30],0.699598,0.706943,0.293057
2024-06-10 15:18:59.145376,Step[31],0.697808,0.713377,0.286623
2024-06-10 15:19:35.943662,Step[32],0.698801,0.715985,0.284015
2024-06-10 15:20:12.753278,Step[33],0.695335,0.702408,0.297592
2024-06-10 15:20:49.701104,Step[34],0.690981,0.699117,0.300883
2024-06-10 15:21:26.605289,Step[35],0.690216,0.709968,0.290032
2024-06-10 15:22:03.401759,Step[36],0.688904,0.693107,0.306893
2024-06-10 15:22:40.281548,Step[37],0.684712,0.695884,0.304116
2024-06-10 15:23:17.079453,Step[38],0.684968,0.700242,0.299758
2024-06-10 15:23:53.891708,Step[39],0.681124,0.685258,0.314742
2024-06-10 15:24:30.811114,Step[40],0.676979,0.690344,0.309656
2024-06-10 15:25:07.646270,Step[41],0.676697,0.683870,0.316130
2024-06-10 15:25:44.580975,Step[42],0.672873,0.682167,0.317833
2024-06-10 15:26:21.494377,Step[43],0.677093,0.686803,0.313197
2024-06-10 15:26:58.329558,Step[44],0.666535,0.689739,0.310261
2024-06-10 15:27:35.150416,Step[45],0.677464,0.679007,0.320993
2024-06-10 15:28:12.043389,Step[46],0.669727,0.695839,0.304161
2024-06-10 15:28:48.910058,Step[47],0.664345,0.682757,0.317243
2024-06-10 15:29:25.713657,Step[48],0.668942,0.680432,0.319568
2024-06-10 15:30:02.514082,Step[49],0.662256,0.675796,0.324204
2024-06-10 15:30:39.427580,Step[50],0.673375,0.689445,0.310555
2024-06-10 15:31:16.243847,Step[51],0.663213,0.666644,0.333356
2024-06-10 15:31:53.133811,Step[52],0.662681,0.667761,0.332239
2024-06-10 15:32:29.969493,Step[53],0.652903,0.679863,0.320137
2024-06-10 15:33:06.799059,Step[54],0.660227,0.674803,0.325197
2024-06-10 15:33:43.606378,Step[55],0.646558,0.660117,0.339883
2024-06-10 15:34:20.494527,Step[56],0.650378,0.669983,0.330017
2024-06-10 15:34:57.314339,Step[57],0.661624,0.657878,0.342122
2024-06-10 15:35:34.188876,Step[58],0.636882,0.649241,0.350759
2024-06-10 15:36:11.069746,Step[59],0.628488,0.654035,0.345965
2024-06-10 15:36:47.931847,Step[60],0.618557,0.612861,0.387139
2024-06-10 15:37:24.813067,Step[61],0.592371,0.613820,0.386180
2024-06-10 15:38:01.640363,Step[62],0.629930,0.606134,0.393866
2024-06-10 15:38:38.550299,Step[63],0.599069,0.570360,0.429640
2024-06-10 15:39:15.445313,Step[64],0.575670,0.626620,0.373380
2024-06-10 15:39:52.251270,Step[65],0.603257,0.562478,0.437522
2024-06-10 15:40:29.166263,Step[66],0.554536,0.517377,0.482623
2024-06-10 15:41:06.116392,Step[67],0.543294,0.578387,0.421613
2024-06-10 15:41:42.928466,Step[68],0.563482,0.509001,0.490999
